title,description,url,author_organisation,published_date,updated_date,topic_url
Trusts and Estates: trustee notification of tax deducted (R185) (LSDB),Use form R185 (Pension LSDB) to provide a beneficiary information about a payment funded by a taxable lump sum death benefit.,https://www.gov.uk/government/publications/trusts-and-estates-trustee-notification-of-tax-deducted-r185-lsdb,HM Revenue & Customs,2017-04-06T00:15:00+01:00,2017-04-26T08:49:51+01:00,https://www.gov.uk/money/trusts
Return of funds forfeited by the National Crime Agency (Luca Filat): agreement between UK and Moldova,This agreement between the governments of the UK and Moldova facilitates the return of funds forfeited by the NCA in relation to Luca Filat.,https://www.gov.uk/government/publications/return-of-funds-forfeited-by-the-national-crime-agency-luca-filat-agreement-between-uk-and-moldova,Home Office,2021-09-22T15:29:00+01:00,2021-09-22T15:29:00+01:00,https://www.gov.uk/international/anti-corruption
Review of the economic requirement for UK trained seafarers,First phase of an independent review into training and skills development in the maritime industry.,https://www.gov.uk/government/publications/an-independent-review-of-the-economic-requirement-for-trained-seafarers-in-the-uk,Department for Transport,2012-01-23T00:00:00+00:00,2012-01-23T00:00:00+00:00,https://www.gov.uk/transport/ship-crew-training-and-certification
Process evaluation for the development of Lyme Bay fisheries management measures {MMO1406},"This project is a process evaluation for the development of Lyme Bay fisheries management measures for ICES Area 7.e sole, looking specifically at engagement and how these measures were developed. ",https://www.gov.uk/government/publications/process-evaluation-for-the-development-of-lyme-bay-fisheries-management-measures-mmo1406,Marine Management Organisation,2024-04-11T00:00:00+01:00,2024-10-17T15:14:41+01:00,https://www.gov.uk/environment/environmental-management-marine-sea-fishing
"Little Reckham Farm, screening decision, S37 Consent, Electricity Act 1989", Screening decision to reconductor approximately 187 metres of a 240/415 kV line from an open wire configuration to aerial bundled conductor.,https://www.gov.uk/government/publications/little-reckham-farm-screening-decision-s37-consent-electricity-act-1989,Department for Energy Security and Net Zero,2024-01-25T00:00:00+00:00,2024-01-25T00:00:00+00:00,https://www.gov.uk/business-and-industry/energy-industry-and-infrastructure-licensing-and-regulation
Heating controls: compensation and time proportional and integral (TPI) controls,Review of the available evidence on compensation (weather and load) and time proportional and integral (TPI) domestic heating controls.,https://www.gov.uk/government/publications/heating-controls-compensation-and-time-proportional-and-integral-tpi-controls,Department for Energy Security and Net Zero,2017-10-12T09:42:52+01:00,2017-10-12T09:42:52+01:00,https://www.gov.uk/environment/climate-change-energy
"Interministerial Group for Safety, Security and Migration Communiqué: 1 February 2023",,https://www.gov.uk/government/publications/communiques-from-the-interministerial-group-for-safety-security-and-migration/interministerial-group-for-safety-security-and-migration-communique-1-february-2023,Home Office,2023-03-06T12:09:14+00:00,2026-08-11T14:56:58+01:00,
Veterinary Laboratories Agency annual report and accounts 2006 to 2007,This document contains the following information: Veterinary Laboratories Agency annual report and accounts 2006 to 2007.,https://www.gov.uk/government/publications/veterinary-laboratories-agency-annual-report-and-accounts-2006-to-2007,Veterinary Laboratories Agency,2007-07-05T01:00:00+01:00,2007-07-05T01:00:00+01:00,
Variation issued: Saturday 01 & Sunday 02 August 2026,,https://www.gov.uk/government/publications/fishing-vessel-licence-variations/variation-issued-saturday-01-august-2026,Marine Management Organisation,2026-07-30T09:20:32+01:00,2026-07-30T09:22:55+01:00,
Tahrir Petrochemical Corporation,,https://www.gov.uk/government/publications/category-a-project-under-consideration-tahrir-petrochemicals-corporation/tahrir-petrochemical-corporation,UK Export Finance,2017-03-14T10:11:15+00:00,2017-03-14T10:11:15+00:00,
Delivering High Standards in Medicines Advertising Regulation report 2020,Annual report from the MHRA on the regulation of medicines advertising to promote transparency.,https://www.gov.uk/government/publications/delivering-high-standards-in-medicines-advertising-regulation-report-2020,Medicines and Healthcare products Regulatory Agency,2021-05-25T15:25:32+01:00,2021-05-25T15:25:32+01:00,https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts
The local government finance report (England) 2009 to 2010,This document contains the following information: The local government finance report (England) 2009 to 2010.,https://www.gov.uk/government/publications/the-local-government-finance-report-england-2009-to-2010,"Ministry of Housing, Communities & Local Government (2018 to 2021)",2009-01-21T00:00:00+00:00,2009-01-21T00:00:00+00:00,https://www.gov.uk/government/government-efficiency-transparency-and-accountability
Decision for Homers Travel Ltd,Written decision of the Deputy Traffic Commissioner in the West Midlands for Homers Travel Ltd,https://www.gov.uk/government/publications/decision-for-homers-travel-ltd,Traffic Commissioners for Great Britain,2022-06-24T11:05:22+01:00,2022-06-24T11:05:22+01:00,https://www.gov.uk/transport/professional-driving-of-lorries-buses-and-coaches
Watford Grammar School for Girls,The schools adjudicator's referral of admission arrangements decision about Watford Grammar School for Girls.,https://www.gov.uk/government/publications/watford-grammar-school-for-girls,Office of the Schools Adjudicator,2014-07-22T16:24:09+01:00,2014-07-22T16:24:09+01:00,
Data share pilot between HMRC and local authorities (A to C),Data share pilot between HMRC and local authorities (starting with the letters 'A' to 'C') to tackle Council Tax debt. ,https://www.gov.uk/government/publications/data-share-pilot-between-hmrc-and-local-authorities-a-to-c,HM Revenue & Customs,2019-09-12T16:17:56+01:00,2019-09-12T16:17:56+01:00,https://www.gov.uk/regional-and-local-government/local-government-data-collection-reporting
"Preventing illegal working: guidance for employers, October 2013",The law on illegal working and your duty as an employer.,https://www.gov.uk/government/publications/preventing-illegal-working-guidance-for-employers-october-2013,Home Office,2014-01-31T15:38:00+00:00,2014-01-31T15:38:00+00:00,https://www.gov.uk/entering-staying-uk/visa-sponsorship
DfT Business Plan input indicator,,https://www.gov.uk/government/publications/cost-of-running-the-rail-network/measurement-template,Department for Transport,2020-04-10T12:02:36+01:00,2015-02-19T09:30:23+00:00,
Met Office annual report and accounts 2010 to 2011,This document contains the following information: Met Office: an executive agency of the Ministry of Defence annual report and accounts 2010 to 2011,https://www.gov.uk/government/publications/met-office-annual-report-and-accounts-2010-to-2011,Met Office,2011-06-21T01:00:00+01:00,2011-06-21T01:00:00+01:00,https://www.gov.uk/government/government-efficiency-transparency-and-accountability
CAC Outcome: RMT & Govia Thameslink Railways,Outcome(s) by the Central Arbitration Committee on an application from the RMT.,https://www.gov.uk/government/publications/cac-outcome-rmt-govia-thameslink-railways,Central Arbitration Committee,2022-09-27T10:11:00+01:00,2022-09-27T10:11:00+01:00,https://www.gov.uk/work
